Métrica,Valor
Quantidade total de registros,1048575.0
Quantidade de registros inseridos,1048575.0
Quantidade de registros com erro (linhas),17031.0
Quantidade de registros sem erro (linhas),1031544.0
Percentual de conformidade (%),98.38
